EmpID,Employee_Name,Sex,MaritalDesc,DeptID,FromDiversityJobFairID,Salary,Position,State,Zip,DOB,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
10026, Wilson  K Adinolfi,M ,Single,5,0,62506,Production Technician I,MA,1960,7/10/1983,US Citizen,No,White,7/5/2011,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,LinkedIn,Exceeds,4.6,5,0,1/17/2019,0,1
10084, Karthikeyan    Ait Sidi,M ,Married,3,0,104437,Sr. DBA,MA,2148,5/5/1975,US Citizen,No,White,3/30/2015,6/16/2016,career change,Voluntarily Terminated,IT/IS,Simon Roup,4,Indeed,Fully Meets,4.96,3,6,2/24/2016,0,17
10196, Sarah Akinkuolie,F,Married,5,0,64955,Production Technician II,MA,1810,9/19/1988,US Citizen,No,White,7/5/2011,9/24/2012,hours,Voluntarily Terminated,Production       ,Kissy Sullivan,20,LinkedIn,Fully Meets,3.02,3,0,5/15/2012,0,3
10088,Trina Alagbe,F,Married,5,0,64991,Production Technician I,MA,1886,9/27/1988,US Citizen,No,White,1/7/2008,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,Indeed,Fully Meets,4.84,5,0,1/3/2019,0,15
10069, Carol  Anderson,F,Divorced,5,0,50825,Production Technician I,MA,2169,9/8/1989,US Citizen,No,White,7/11/2011,9/6/2016,return to school,Voluntarily Terminated,Production       ,Webster Butler,39,Google Search,Fully Meets,5,4,0,2/1/2016,0,2
10002, Linda   Anderson,F,Single,5,0,57568,Production Technician I,MA,1844,5/22/1977,US Citizen,No,White,1/9/2012,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,LinkedIn,Exceeds,5,5,0,1/7/2019,0,15
10194, Colby Andreola,F,Single,4,0,95660,Software Engineer,MA,2110,5/24/1979,US Citizen,No,White,11/10/2014,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,10,LinkedIn,Fully Meets,3.04,3,4,1/2/2019,0,19
10062, Sam Athwal,M ,Widowed,5,0,59365,Production Technician I,MA,2199,2/18/1983,US Citizen,No,White,9/30/2013,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Employee Referral,Fully Meets,5,4,0,2/25/2019,0,19
10114, Linda Bachiochi,F,Single,5,1,47837,Production Technician I,MA,1902,2/11/1970,US Citizen,No,Black or African American,7/6/2009,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Diversity Job Fair,Fully Meets,4.46,3,0,1/25/2019,0,4
10250, Alejandro  Bacong,M ,Divorced,3,0,50178,IT Support,MA,1886,1/7/1988,US Citizen,No,White,1/5/2015,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,Indeed,Fully Meets,5,5,6,2/18/2019,0,16
